Day_Or_Night,Cars_Around,Windy,Rainy,Position1,Position2,Is_Front_Car_Change_Lane
Night,3,No,No,0.2,1,0
Day,7,No,Yes,0.4,0.3,0
Night,3,Yes,No,-0.5,-1.5,0
Day,2,No,No,-0.3,0,0
Night,3,Yes,No,-0.5,-1.5,1
Night,1,No,Yes,-0.3,0,0
Day,0,No,Yes,-0.3,0,0
Night,7,No,No,0.4,0.3,0
Night,0,No,Yes,-0.3,0,0
Night,3,Yes,No,-0.5,-1.5,1
Night,0,No,No,-0.3,0,0
Night,2,No,No,-0.3,0,0
Day,3,Yes,No,-0.5,-1.5,1
Day,3,Yes,No,-0.5,-1.5,1
Day,1,Yes,No,-0.5,-1.5,1
Night,3,No,No,-0.25,Null,0
Night,3,Yes,No,-0.5,-1.5,0
Night,3,Yes,No,-0.5,-1.5,1
Day,2,No,No,-0.3,0,0
Day,1,Yes,No,-0.5,-1.5,1
Night,7,No,Yes,0.4,0.3,0
Day,4,No,No,0.2,1,1
Night,3,No,No,0.2,1,1
Day,7,No,Yes,0.4,0.3,0
Day,3,Yes,No,-0.5,-1.5,1
Day,7,No,No,0.4,0.3,0
Night,3,No,No,0.2,1,1
Night,3,No,No,0.2,1,1
Day,7,No,No,0.4,0.3,0
Night,7,No,Yes,0.4,0.3,0
Night,7,Yes,Yes,0.4,0.3,0
Day,6,No,No,0.4,0.3,0
Day,3,Yes,No,-0.5,-1.5,1
Day,0,No,Yes,-0.3,0,0
Night,6,No,No,0.4,0.3,0
Night,3,Yes,Yes,-0.5,-1.5,1
Day,7,No,Yes,0.4,0.3,0
Day,3,No,No,0.2,1,1
Day,3,Yes,No,-0.5,-1.5,1
Night,0,No,Yes,-0.3,0,0
Day,3,No,No,0.2,1,1
Night,3,No,No,0.2,1,1
Night,6,No,No,0.4,0.3,0
Day,0,No,Yes,-0.3,0,0
Day,7,No,Yes,0.4,0.3,0
Day,3,Yes,No,-0.5,-1.5,1
Day,3,No,No,0.2,1,1
Day,3,Yes,No,-0.5,-1.5,1
Day,3,No,No,0.2,1,1
Night,7,No,Yes,0.4,0.3,0
Day,3,Yes,No,-0.5,-1.5,1
Night,7,No,Yes,0.4,0.3,0
Night,3,Yes,No,-0.5,-1.5,1
Day,0,No,Yes,-0.3,0,0
Night,4,No,No,0.2,1,1
Day,7,No,No,0.4,0.3,0
Night,6,No,No,0.4,0.3,0
Day,6,No,No,0.4,0.3,0
Day,0,No,Yes,-0.3,0,0
Day,1,Yes,No,-0.5,-1.5,1
Night,0,No,Yes,-0.3,0,0
Day,2,No,No,-0.3,0,0
Day,3,No,No,0.2,1,1
Day,7,No,No,0.4,0.3,0
Night,2,No,Yes,-0.3,0,0
Night,0,No,Yes,-0.3,0,0
Day,2,No,No,-0.3,0,1
Day,7,No,Yes,0.4,0.3,0
Day,6,No,No,0.4,0.3,0
Day,3,No,No,0.2,1,1
Night,5,No,No,-0.3,0,0
Night,3,No,No,0.2,1,1
Day,4,No,No,0.2,1,1
Day,3,Yes,No,-0.5,-1.5,1
Day,7,No,Yes,0.4,0.3,0
Day,1,Yes,No,-0.5,-1.5,1
Night,3,No,No,0.2,1,1
Night,0,No,No,-0.3,0,0
Night,0,Yes,Yes,0.1,0.1,0
Night,2,No,Yes,0.25,1.2,0
Night,1,Yes,No,-0.5,-1.5,1
Day,3,Yes,No,-0.5,-1.5,1
Day,3,No,No,0.2,1,1
Night,3,No,No,0.2,1,1
Day,3,No,No,0.2,1,1
Day,3,No,No,0.2,1,1
Night,1,Yes,No,-0.5,-1.5,1
Day,0,No,Yes,-0.3,0,0
Night,3,Yes,No,-0.5,-1.5,1
Day,6,No,No,0.4,0.3,0
Day,3,Yes,No,-0.5,-1.5,1
Day,3,No,No,0.2,1,1
Night,2,No,No,-0.3,0,0
Day,8,No,No,0.4,0.3,0
Night,0,No,No,-0.3,0,0
Night,6,No,No,0.4,0.3,0
Night,9,No,No,0.4,0.3,0
Night,3,Yes,No,-0.5,-1.5,0
Day,0,No,No,-0.3,0,0
Night,3,Yes,No,-0.5,-1.5,0
Day,3,No,No,-0.5,-1.5,1
Night,3,No,No,0.2,1,1
Day,3,No,No,0.2,1,1
Night,1,Yes,No,-0.5,-1.5,1
Day,0,No,No,-0.3,0,0
Night,3,No,Yes,0.2,1,1
